City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,kenora,49.8167,-94.4337,268.58,67,19,4.47,CA,1675822249
199,lompoc,34.6391,-120.4579,287.23,84,0,3.58,US,1675822169
200,kibala,9.1104,18.3463,297.34,16,6,2.08,TD,1675822681
201,loandjili,-4.7561,11.8578,298.74,88,70,2.86,CG,1675822681
202,balgazyn,51.0,95.2,248.7,99,57,0.54,RU,1675822681
203,pangoa,-12.1167,-73.0,293.22,99,51,0.33,PE,1675822682
204,victoria,22.2855,114.1577,292.25,85,97,6.71,HK,1675822222
205,claveria,18.6074,121.0832,298.49,85,96,6.49,PH,1675822682
206,tezu,27.9167,96.1667,290.4,58,99,0.29,IN,1675822548
207,lufilufi,-13.8745,-171.5986,303.59,78,44,5.52,WS,1675822683
208,inhambane,-23.865,35.3833,298.52,87,8,3.0,MZ,1675822176
209,ugljevik,44.6636,19.0203,269.55,65,44,1.61,BA,1675822683
210,san quintin,30.4833,-115.95,288.3,51,0,2.01,MX,1675822237
211,saint-pierre,-21.3393,55.4781,297.97,78,0,2.06,RE,1675822186
212,bambous virieux,-20.3428,57.7575,299.29,83,40,5.14,MU,1675822190
213,grindavik,63.8424,-22.4338,270.12,86,75,16.98,IS,1675822290
214,kalmunai,7.4167,81.8167,298.64,85,100,3.63,LK,1675822684
215,mandalgovi,45.7625,106.2708,261.12,86,95,2.3,MN,1675822685
216,qostanay,53.1667,63.5833,254.31,84,100,2.0,KZ,1675822685
217,dachnoye,43.0847,44.7358,264.35,85,100,5.0,RU,1675822686
218,omboue,-1.5746,9.2618,298.23,88,100,2.22,GA,1675822337
219,cidreira,-30.1811,-50.2056,297.35,80,15,6.42,BR,1675822067
220,atar,20.5169,-13.0499,288.25,29,3,5.16,MR,1675822243
221,rocha,-34.4833,-54.3333,293.3,85,6,3.33,UY,1675822489
222,dzhebariki-khaya,62.2167,135.8,234.52,98,99,0.62,RU,1675822687
223,abnub,27.2696,31.1511,281.14,59,77,1.87,EG,1675822687
224,cambui,-22.6122,-46.0575,292.47,96,100,1.54,BR,1675822687
225,marshall,34.3834,-86.3333,289.01,58,75,1.54,US,1675822462
226,akyab,20.15,92.9,292.85,54,2,2.6,MM,1675822688
227,zhigansk,66.7697,123.3711,228.66,98,100,2.91,RU,1675822265
228,jibuti,11.5,42.5,292.57,84,14,3.74,DJ,1675822688
229,cururupu,-1.8283,-44.8683,296.6,96,100,1.13,BR,1675822689
230,quebo,11.3333,-14.9333,292.67,75,1,1.09,GW,1675822689
231,isangel,-19.55,169.2667,303.21,79,100,1.54,VU,1675822355
232,glendive,47.1053,-104.7125,276.94,75,0,3.09,US,1675822194
233,codrington,-38.2667,141.9667,292.05,60,87,6.87,AU,1675822249
234,sabha,27.0377,14.4283,284.85,38,100,5.53,LY,1675822618
235,kenai,60.5544,-151.2583,271.2,97,100,5.14,US,1675822151
236,santiago de cao,-7.9589,-79.2392,296.22,83,75,3.6,PE,1675822690
237,chuy,-33.6971,-53.4616,294.65,80,27,3.3,UY,1675822258
238,chapais,49.7834,-74.8492,268.03,96,100,4.72,CA,1675822266
239,jiwani,25.05,61.7417,295.16,68,2,2.69,PK,1675822691
240,malanje,-9.5402,16.341,289.42,89,100,1.47,AO,1675822691
241,selenginsk,52.0064,106.8647,248.38,85,100,0.85,RU,1675822692
242,sehwan,26.4279,67.863,290.4,25,2,1.9,PK,1675822692
243,goianesia,-15.3175,-49.1175,294.97,88,92,0.88,BR,1675822693
244,kamenka,51.3223,42.7678,259.02,94,7,4.47,RU,1675822560
245,ukiah,39.1502,-123.2078,285.33,71,0,0.89,US,1675822693
246,richards bay,-28.783,32.0377,295.65,97,3,1.43,ZA,1675822245
247,lakatoro,-16.0999,167.4164,301.18,71,100,1.12,VU,1675822532
248,yershov,51.3513,48.2766,257.6,95,28,5.13,RU,1675822694
249,khatanga,71.9667,102.5,228.97,100,64,1.26,RU,1675822180
250,okha,53.5739,142.9478,250.04,81,100,4.19,RU,1675822695
251,carballo,43.213,-8.691,279.27,71,57,2.8,ES,1675822003
252,broome,42.2506,-75.833,277.29,76,75,5.81,US,1675822345
253,nyurba,63.2842,118.3319,238.6,96,100,0.51,RU,1675822696
254,morro bay,35.3658,-120.8499,287.73,74,100,0.45,US,1675822497
255,shetpe,44.1667,52.1167,274.55,93,100,7.92,KZ,1675822258
256,husavik,66.0449,-17.3389,268.63,70,96,6.11,IS,1675822183
257,hammerfest,70.6634,23.6821,275.4,60,0,5.66,NO,1675822696
258,sitka,57.0531,-135.33,276.09,81,100,0.0,US,1675822495
259,luderitz,-26.6481,15.1594,291.62,83,27,8.47,NA,1675822046
260,yefremov,53.1481,38.0992,261.96,97,49,1.86,RU,1675822697
261,andenes,69.3143,16.1194,277.55,70,20,12.35,NO,1675822306
262,havre-saint-pierre,50.2334,-63.5986,263.73,79,100,5.61,CA,1675822239
263,port lincoln,-34.7333,135.8667,296.34,60,6,5.04,AU,1675822242
264,vila franca do campo,37.7167,-25.4333,286.38,79,92,4.6,PT,1675822460
265,birjand,32.8663,59.2211,280.41,65,40,2.06,IR,1675822698
266,venado tuerto,-33.7456,-61.9688,299.13,32,0,1.99,AR,1675822609
267,bilma,18.6853,12.9164,292.58,21,100,2.95,NE,1675822568
268,dvinskoy,62.1535,45.1175,269.67,93,100,4.05,RU,1675822699
269,la mana,-0.9333,-79.2167,296.43,94,64,1.64,EC,1675822700
270,spasskoye,44.6108,132.7969,261.46,87,89,2.83,RU,1675822602
271,kaeo,-35.1,173.7833,300.55,60,27,3.04,NZ,1675822701
272,hefei,31.8639,117.2808,282.84,54,100,6.57,CN,1675822461
273,plettenberg bay,-34.0527,23.3716,292.3,86,100,2.55,ZA,1675822701
274,carrollton,32.9537,-96.8903,282.72,93,100,6.17,US,1675822702
275,yunyang,33.4474,112.7142,280.5,67,99,6.2,CN,1675822673
276,vao,-22.6667,167.4833,299.94,70,13,6.01,NC,1675822203
277,prieska,-29.6641,22.7474,294.9,61,88,1.71,ZA,1675822702
278,luba,3.4568,8.5547,298.09,81,96,2.85,GQ,1675822703
279,yumen,40.2833,97.2,270.73,53,21,5.06,CN,1675822703
280,batie,9.8833,-2.9167,302.33,43,93,0.33,BF,1675822703
281,kota belud,6.351,116.4305,300.79,69,93,0.99,MY,1675822704
282,innisfail,-17.5333,146.0333,300.79,89,100,4.3,AU,1675822704
283,paamiut,61.994,-49.6678,254.26,86,76,5.14,GL,1675822159
284,katsuura,35.1333,140.3,284.16,71,98,8.08,JP,1675822200
285,ginda,30.6945,78.4932,277.59,21,25,3.59,IN,1675822705
286,jinchang,38.4953,102.1739,269.94,74,100,2.93,CN,1675822706
287,hinton,53.4001,-117.5857,270.8,98,100,0.68,CA,1675822546
288,nushki,29.5542,66.0215,287.49,32,100,3.26,PK,1675822706
289,freetown,8.484,-13.2299,297.06,72,59,2.37,SL,1675822708
290,mbini,1.574,9.6134,298.97,85,44,2.83,GQ,1675822709
291,sao jose da coroa grande,-8.8978,-35.1478,298.12,71,100,2.79,BR,1675822709
292,sri aman,1.2376,111.4621,303.18,79,20,1.03,MY,1675822709
293,yanaul,56.2719,54.9309,249.84,100,96,1.23,RU,1675822710
294,klaksvik,62.2266,-6.589,281.66,84,100,25.39,FO,1675822198
295,maniitsoq,65.4167,-52.9,255.74,90,100,4.23,GL,1675822291
296,koslan,63.4564,48.8989,268.59,94,100,4.59,RU,1675822710
297,hobyo,5.3505,48.5268,298.21,69,97,6.88,SO,1675822551
298,pinotepa nacional,16.3167,-98.0167,295.72,75,2,1.02,MX,1675822711
299,maralal,1.0968,36.698,286.95,66,4,1.7,KE,1675822711
300,avera,33.194,-82.5271,283.88,57,96,1.67,US,1675822712
301,dovolnoye,54.4958,79.6671,252.89,99,93,2.29,RU,1675822712
302,luau,-10.7073,22.2247,290.79,93,100,1.41,AO,1675822665
303,benjamin constant,-4.3831,-70.0311,299.22,98,89,0.25,BR,1675822713
304,middelburg,-25.7751,29.4648,288.39,91,100,2.76,ZA,1675822714
305,waipawa,-41.4122,175.5153,293.24,58,25,2.41,NZ,1675822568
306,san matias,-16.3667,-58.4,296.58,92,98,1.02,BO,1675822714
307,stepnyak,52.8339,70.7803,258.41,97,100,2.11,KZ,1675822715
308,trinidad,-14.8333,-64.9,296.55,96,100,0.64,BO,1675822715
309,caceres,39.522,-6.3748,279.15,85,99,3.93,ES,1675822716
310,vanavara,60.34,102.2797,255.04,97,100,1.07,RU,1675822589
311,kiama,-34.6833,150.8667,295.37,91,100,0.89,AU,1675822716
312,aasiaat,68.7098,-52.8699,243.51,95,100,2.01,GL,1675822717
313,yatou,37.15,122.3833,276.82,51,83,5.73,CN,1675822606
314,saskylakh,71.9167,114.0833,239.24,100,100,0.32,RU,1675822269
315,zabaykalsk,49.6333,117.3167,254.27,97,66,2.43,RU,1675822718
316,sukumo,32.9333,132.7333,285.62,54,32,4.34,JP,1675822466
317,nanortalik,60.1432,-45.2371,257.96,73,10,8.85,GL,1675822236
318,caravelas,-17.7125,-39.2481,298.37,81,4,3.61,BR,1675822188
319,ulvik,60.5672,6.9187,277.68,99,100,1.93,NO,1675822719
320,rawson,-43.3002,-65.1023,291.8,60,3,2.85,AR,1675822522
321,pachino,36.7186,15.0907,281.74,64,100,7.61,IT,1675822719
322,port shepstone,-30.7414,30.455,296.77,82,100,7.83,ZA,1675822719
323,hofn,64.2539,-15.2082,272.96,71,100,8.21,IS,1675822195
324,bernalillo,35.05,-106.6673,276.07,91,100,2.57,US,1675822720
325,montevideo,-34.8335,-56.1674,298.44,64,0,3.6,UY,1675822654
326,yulara,-25.2406,130.9889,308.73,18,0,3.01,AU,1675822171
327,talara,-4.5772,-81.2719,298.57,69,0,4.63,PE,1675822720
328,ambilobe,-13.2,49.05,296.09,94,100,0.72,MG,1675822191
329,bonneville,46.0802,6.4073,273.97,82,21,1.48,FR,1675822721
330,ambon,-3.6954,128.1814,305.23,66,40,3.09,ID,1675822511
331,shingu,33.7333,135.9833,287.22,40,7,2.05,JP,1675822722
332,moron,-34.6534,-58.6198,300.93,73,0,4.05,AR,1675822234
333,porto novo,6.4965,2.6036,300.05,85,95,2.15,BJ,1675822722
334,constitucion,-35.3333,-72.4167,288.52,71,0,4.13,CL,1675822189
335,adrar,20.5022,-10.0711,288.69,23,100,4.91,MR,1675822196
336,naryan-mar,67.6713,53.087,274.6,91,100,9.56,RU,1675822556
337,santana do livramento,-30.8908,-55.5328,297.33,37,0,1.38,BR,1675822723
338,altay,47.8667,88.1167,264.53,72,100,1.89,CN,1675822352
339,kamaishi,39.2667,141.8833,276.07,78,100,3.57,JP,1675822582
340,bemidji,47.4736,-94.8803,272.2,73,0,4.12,US,1675822723
341,lata,40.1629,-8.3327,282.08,80,33,2.1,PT,1675822176
342,labrea,-7.2586,-64.7981,295.88,96,73,0.63,BR,1675822723
343,zelenogradsk,54.9589,20.4767,274.18,81,100,4.0,RU,1675822724
344,pinega,64.7001,43.3936,274.25,98,100,5.01,RU,1675822724
345,sorland,67.667,12.6934,279.07,82,100,21.67,NO,1675822329
346,arcachon,44.5875,-1.0519,277.18,70,0,3.09,FR,1675822725
347,sasolburg,-26.8136,27.817,289.23,89,99,2.67,ZA,1675822725
348,pyu,18.4833,96.4333,294.92,26,63,2.05,MM,1675822725
349,flinders,-34.5833,150.8552,294.92,90,100,1.34,AU,1675822120
350,kralendijk,12.15,-68.2667,299.14,73,20,6.17,BQ,1675822726
351,gogaran,40.8926,44.1992,266.06,90,100,1.76,AM,1675822726
352,ossora,59.2353,163.0719,250.14,82,86,2.53,RU,1675822283
353,soyo,-6.1349,12.3689,299.21,84,89,3.52,AO,1675822726
354,killybegs,54.6333,-8.45,278.29,91,14,4.75,IE,1675822727
355,henties bay,-22.116,14.2845,291.29,89,47,2.06,NA,1675822160
356,viedma,-40.8135,-62.9967,292.55,64,11,3.86,AR,1675822163
357,la ronge,55.1001,-105.2842,269.36,81,3,4.77,CA,1675822268
358,dobryatino,55.5055,41.3195,256.71,100,100,2.23,RU,1675822727
359,kendari,-3.945,122.4989,303.58,61,100,1.02,ID,1675822560
360,talcahuano,-36.7167,-73.1167,290.97,68,0,5.66,CL,1675822728
361,amuntai,-2.4177,115.2494,303.16,64,76,0.73,ID,1675822728
362,worcester,42.3334,-71.8328,273.07,84,100,5.66,US,1675822729
363,launceston,-41.45,147.1667,296.27,52,40,2.06,AU,1675822729
364,svetlogorsk,52.6333,29.7333,261.05,97,62,0.94,BY,1675822729
365,batemans bay,-35.7167,150.1833,293.76,87,100,1.14,AU,1675822235
366,celestun,20.8667,-90.4,299.69,64,33,4.94,MX,1675822730
367,sinnamary,5.3833,-52.95,297.18,91,65,4.34,GF,1675822523
368,teknaf,20.8624,92.3058,293.35,55,0,1.49,BD,1675822538
